original_name	col	color	idx	row	sample	tissue	zoom
Mar26bS2C2R2_DMl_200x_y.TIF	C2	y	Mar26b	R2	S2	DMl	200x
Mar26bS2C1R1_DMl_200x_g.TIF	C1	g	Mar26b	R1	S2	DMl	200x
Mar26bS1C4R3_LHl_200x_y.TIF	C4	y	Mar26b	R3	S1	LHl	200x
Mar26bS1C2R1_VLPAGr_200x_y.TIF	C2	y	Mar26b	R1	S1	VLPAGr	200x
Mar26bS1C2R1_VLPAGr_200x_g.TIF	C2	g	Mar26b	R1	S1	VLPAGr	200x
Mar26bS1C4R2_DMl_200x_y.TIF	C4	y	Mar26b	R2	S1	DMl	200x
Mar26bS1C2R3_VLPAGl_200x_y.TIF	C2	y	Mar26b	R3	S1	VLPAGl	200x
Mar26bS1C4R2_LHr_200x_g.TIF	C4	g	Mar26b	R2	S1	LHr	200x
Mar26bS2C1R2_LHl_200x_y.TIF	C1	y	Mar26b	R2	S2	LHl	200x
Mar26bS1C2R1_VLPAGl_200x_y.TIF	C2	y	Mar26b	R1	S1	VLPAGl	200x
Mar26bS2C2R1_LHl_200x_y.TIF	C2	y	Mar26b	R1	S2	LHl	200x
Mar26bS1C4R3_LHr_200x_y.TIF	C4	y	Mar26b	R3	S1	LHr	200x
Mar26bS1C4R3_DMr_200x_g.TIF	C4	g	Mar26b	R3	S1	DMr	200x
Mar26bS1C4R2_DMr_200x_g.TIF	C4	g	Mar26b	R2	S1	DMr	200x
Mar26bS2C2R3_LHr_200x_y.TIF	C2	y	Mar26b	R3	S2	LHr	200x
Mar26bS2C2R1_LHr_200x_g.TIF	C2	g	Mar26b	R1	S2	LHr	200x
Mar26bS1C2R3_VLPAGl_200x_g.TIF	C2	g	Mar26b	R3	S1	VLPAGl	200x
Mar26bS2C1R2_DMl_200x_g.TIF	C1	g	Mar26b	R2	S2	DMl	200x
Mar26bS1C1R4_VLPAGr_200x_g.TIF	C1	g	Mar26b	R4	S1	VLPAGr	200x
Mar26bS2C1R1_DMr_200x_y.TIF	C1	y	Mar26b	R1	S2	DMr	200x
Mar26bS2C1R2_DMr_200x_y.TIF	C1	y	Mar26b	R2	S2	DMr	200x
Mar26bS1C2R3_VLPAGr_200x_y.TIF	C2	y	Mar26b	R3	S1	VLPAGr	200x
Mar26bS2C1R1_DMl_200x_y.TIF	C1	y	Mar26b	R1	S2	DMl	200x
Mar26bS2C1R1_LHr_200x_y.TIF	C1	y	Mar26b	R1	S2	LHr	200x
Mar19bS1C2R2_VLPAGr_200x_g.TIF	C2	g	Mar19b	R2	S1	VLPAGr	200x
Mar19bS1C4R3_DMr_200x_g.TIF	C4	g	Mar19b	R3	S1	DMr	200x
Mar19bS1C2R2_VLPAGl_200x_g.TIF	C2	g	Mar19b	R2	S1	VLPAGl	200x
Mar19bS2C1R1_LHr_200x_g.TIF	C1	g	Mar19b	R1	S2	LHr	200x
Mar19bS1C4R3_LHl_200x_g.TIF	C4	g	Mar19b	R3	S1	LHl	200x
Mar19bS1C5R3_LHr_200x_y.TIF	C5	y	Mar19b	R3	S1	LHr	200x
Mar19bS2C1R1_LHr_200x_y.TIF	C1	y	Mar19b	R1	S2	LHr	200x
Mar19bS1C5R1_LHr_200x_y.TIF	C5	y	Mar19b	R1	S1	LHr	200x
Mar19bS1C3R3_VLPAGr_200x_g.TIF	C3	g	Mar19b	R3	S1	VLPAGr	200x
Mar19bS1C4R2_LHr_200x_g.TIF	C4	g	Mar19b	R2	S1	LHr	200x
Mar19bS1C4R2_DMr_200x_y.TIF	C4	y	Mar19b	R2	S1	DMr	200x
Mar19bS1C2R2_VLPAGl_200x_y.TIF	C2	y	Mar19b	R2	S1	VLPAGl	200x
Mar19bS1C5R2_DMl_200x_y.TIF	C5	y	Mar19b	R2	S1	DMl	200x
Mar19bS1C3R2_VLPAGl_200x_g.TIF	C3	g	Mar19b	R2	S1	VLPAGl	200x
Mar19bS2C2R1_LHr_200x_g.TIF	C2	g	Mar19b	R1	S2	LHr	200x
Mar19bS1C4R2_DMl_200x_y.TIF	C4	y	Mar19b	R2	S1	DMl	200x
Mar19bS1C5R3_DMl_200x_y.TIF	C5	y	Mar19b	R3	S1	DMl	200x
Mar19bS1C4R3_LHl_200x_y.TIF	C4	y	Mar19b	R3	S1	LHl	200x
Mar19bS1C4R3_DMl_200x_y.TIF	C4	y	Mar19b	R3	S1	DMl	200x
Mar19bS1C5R3_DMl_200x_g.TIF	C5	g	Mar19b	R3	S1	DMl	200x
Mar19bS2C1R2_LHl_200x_y.TIF	C1	y	Mar19b	R2	S2	LHl	200x
Mar19bS1C1R3_VLPAGl_200x_y.TIF	C1	y	Mar19b	R3	S1	VLPAGl	200x
Mar19bS1C5R2_LHr_200x_g.TIF	C5	g	Mar19b	R2	S1	LHr	200x
Mar19bS1C1R2_VLPAGr_200x_g.TIF	C1	g	Mar19b	R2	S1	VLPAGr	200x
Mar19bS1C4R2_LHl_200x_g.TIF	C4	g	Mar19b	R2	S1	LHl	200x
Mar19bS1C3R1_VLPAGl_200x_g.TIF	C3	g	Mar19b	R1	S1	VLPAGl	200x
Mar19bS1C1R3_VLPAGr_200x_g.TIF	C1	g	Mar19b	R3	S1	VLPAGr	200x
